ts_id,period,value
1,01-01-2020,23
1,01-02-2020,20
1,01-03-2020,35
1,01-04-2020,56
1,01-05-2020,10
1,01-06-2020,44
1,01-07-2020,23
1,01-08-2020,20
1,01-09-2020,35
1,01-10-2020,56
1,01-11-2020,10
1,01-12-2020,44
1,01-01-2021,23
1,01-02-2021,20
1,01-03-2021,35
1,01-04-2021,56
1,01-05-2021,10
1,01-06-2021,44
1,01-07-2021,23
1,01-08-2021,20
1,01-09-2021,35
1,01-10-2021,56
1,01-11-2021,10
1,01-12-2021,44
2,01-01-2020,0
2,01-02-2020,22
2,01-03-2020,1
2,01-04-2020,5
2,01-05-2020,76
2,01-06-2020,19
2,01-07-2020,0
2,01-08-2020,22
2,01-09-2020,1
2,01-10-2020,5
2,01-11-2020,76
2,01-12-2020,19
2,01-01-2021,0
2,01-02-2021,22
2,01-03-2021,1
2,01-04-2021,5
2,01-05-2021,76
2,01-06-2021,19
2,01-07-2021,0
2,01-08-2021,22
2,01-09-2021,1
2,01-10-2021,5
2,01-11-2021,76
2,01-12-2021,19
